# BornAgain Intensity Data
# Simple array suitable for numpy, matlab etc.
# coordinates         intensities
3.000000000000e-03    9.998992277849e+07
9.000000000000e-03    9.996974371762e+07
1.500000000000e-02    9.994948537204e+07
2.100000000000e-02    9.992909094949e+07
2.700000000000e-02    9.990850173794e+07
3.300000000000e-02    9.988765623194e+07
3.900000000000e-02    9.986648916371e+07
4.500000000000e-02    9.984493040194e+07
5.100000000000e-02    9.982290367212e+07
5.700000000000e-02    9.980032504049e+07
6.300000000000e-02    9.977710108614e+07
6.900000000000e-02    9.975312666182e+07
7.500000000000e-02    9.972828210949e+07
8.100000000000e-02    9.970242974771e+07
8.700000000000e-02    9.967540937607e+07
9.300000000000e-02    9.964703243653e+07
9.900000000000e-02    9.961707431247e+07
1.050000000000e-01    9.958526400194e+07
1.110000000000e-01    9.955127001846e+07
1.170000000000e-01    9.951468075367e+07
1.230000000000e-01    9.947497650887e+07
1.290000000000e-01    9.943148863933e+07
1.350000000000e-01    9.938333811036e+07
1.410000000000e-01    9.932933990595e+07
1.470000000000e-01    9.926784823943e+07
1.530000000000e-01    9.919649355444e+07
1.590000000000e-01    9.911170850269e+07
1.650000000000e-01    9.900780766311e+07
1.710000000000e-01    9.887501921696e+07
1.770000000000e-01    9.869467963989e+07
1.830000000000e-01    9.842498991791e+07
1.890000000000e-01    9.794273236390e+07
1.950000000000e-01    9.655122515955e+07
2.010000000000e-01    5.282301534039e+07
2.070000000000e-01    3.109388883255e+07
2.130000000000e-01    2.184926776160e+07
2.190000000000e-01    1.646933831754e+07
2.250000000000e-01    1.293162350896e+07
2.310000000000e-01    1.043851542777e+07
2.370000000000e-01    8.599377605285e+06
2.430000000000e-01    7.197258343945e+06
2.490000000000e-01    6.101156880835e+06
2.550000000000e-01    5.227064033671e+06
2.610000000000e-01    4.518588643894e+06
2.670000000000e-01    3.936491598057e+06
2.730000000000e-01    3.452660724415e+06
2.790000000000e-01    3.046462503227e+06
2.850000000000e-01    2.702440049257e+06
2.910000000000e-01    2.408809873607e+06
2.970000000000e-01    2.156451320315e+06
3.030000000000e-01    1.938210047868e+06
3.090000000000e-01    1.748407444474e+06
3.150000000000e-01    1.582488455039e+06
3.210000000000e-01    1.436764475379e+06
3.270000000000e-01    1.308222809361e+06
3.330000000000e-01    1.194383537608e+06
3.390000000000e-01    1.093190681418e+06
3.450000000000e-01    1.002928522434e+06
3.510000000000e-01    9.221566095675e+05
3.570000000000e-01    8.496588095270e+05
3.630000000000e-01    7.844030238387e+05
3.690000000000e-01    7.255090869243e+05
3.750000000000e-01    6.722229958487e+05
3.810000000000e-01    6.238960816234e+05
3.870000000000e-01    5.799680672930e+05
3.930000000000e-01    5.399532054504e+05
3.990000000000e-01    5.034288721461e+05
4.050000000000e-01    4.700261327166e+05
4.110000000000e-01    4.394219000997e+05
4.170000000000e-01    4.113323864692e+05
4.230000000000e-01    3.855076108128e+05
4.290000000000e-01    3.617267729787e+05
4.350000000000e-01    3.397943420975e+05
4.410000000000e-01    3.195367366411e+05
4.470000000000e-01    3.007994965665e+05
4.530000000000e-01    2.834448664098e+05
4.590000000000e-01    2.673497229050e+05
4.650000000000e-01    2.524037925083e+05
4.710000000000e-01    2.385081137255e+05
4.770000000000e-01    2.255737068594e+05
4.830000000000e-01    2.135204200655e+05
4.890000000000e-01    2.022759257388e+05
4.950000000000e-01    1.917748454577e+05
5.010000000000e-01    1.819579851831e+05
5.070000000000e-01    1.727716652692e+05
5.130000000000e-01    1.641671322255e+05
5.190000000000e-01    1.561000411434e+05
5.250000000000e-01    1.485299993542e+05
5.310000000000e-01    1.414201632713e+05
5.370000000000e-01    1.347368815286e+05
5.430000000000e-01    1.284493785090e+05
5.490000000000e-01    1.225294731860e+05
5.550000000000e-01    1.169513289003e+05
5.610000000000e-01    1.116912302915e+05
5.670000000000e-01    1.067273841121e+05
5.730000000000e-01    1.020397410834e+05
5.790000000000e-01    9.760983632605e+04
5.850000000000e-01    9.342064621425e+04
5.910000000000e-01    8.945645977585e+04
5.970000000000e-01    8.570276299867e+04
6.030000000000e-01    8.214613460409e+04
6.090000000000e-01    7.877415202640e+04
6.150000000000e-01    7.557530648863e+04
6.210000000000e-01    7.253892619783e+04
6.270000000000e-01    6.965510679823e+04
6.330000000000e-01    6.691464832101e+04
6.390000000000e-01    6.430899795716e+04
6.450000000000e-01    6.183019805662e+04
6.510000000000e-01    5.947083882390e+04
6.570000000000e-01    5.722401523963e+04
6.630000000000e-01    5.508328778910e+04
6.690000000000e-01    5.304264662431e+04
6.750000000000e-01    5.109647882674e+04
6.810000000000e-01    4.923953847290e+04
6.870000000000e-01    4.746691923661e+04
6.930000000000e-01    4.577402928948e+04
6.990000000000e-01    4.415656828560e+04
7.050000000000e-01    4.261050623870e+04
7.110000000000e-01    4.113206411888e+04
7.170000000000e-01    3.971769601378e+04
7.230000000000e-01    3.836407271430e+04
7.290000000000e-01    3.706806659853e+04
7.350000000000e-01    3.582673770019e+04
7.410000000000e-01    3.463732085848e+04
7.470000000000e-01    3.349721385634e+04
7.530000000000e-01    3.240396646271e+04
7.590000000000e-01    3.135527030248e+04
7.650000000000e-01    3.034894948471e+04
7.710000000000e-01    2.938295192621e+04
7.770000000000e-01    2.845534131325e+04
7.830000000000e-01    2.756428964939e+04
7.890000000000e-01    2.670807034199e+04
7.950000000000e-01    2.588505178421e+04
8.010000000000e-01    2.509369139323e+04
8.070000000000e-01    2.433253006854e+04
8.130000000000e-01    2.360018703770e+04
8.190000000000e-01    2.289535505935e+04
8.250000000000e-01    2.221679595606e+04
8.310000000000e-01    2.156333645202e+04
8.370000000000e-01    2.093386429220e+04
8.430000000000e-01    2.032732462225e+04
8.490000000000e-01    1.974271660936e+04
8.550000000000e-01    1.917909028656e+04
8.610000000000e-01    1.863554360395e+04
8.670000000000e-01    1.811121967182e+04
8.730000000000e-01    1.760530418193e+04
8.790000000000e-01    1.711702299399e+04
8.850000000000e-01    1.664563987575e+04
8.910000000000e-01    1.619045438589e+04
8.970000000000e-01    1.575079988958e+04
9.030000000000e-01    1.532604169751e+04
9.090000000000e-01    1.491557532007e+04
9.150000000000e-01    1.451882482846e+04
9.210000000000e-01    1.413524131576e+04
9.270000000000e-01    1.376430145103e+04
9.330000000000e-01    1.340550612028e+04
9.390000000000e-01    1.305837914843e+04
9.450000000000e-01    1.272246609714e+04
9.510000000000e-01    1.239733313316e+04
9.570000000000e-01    1.208256596297e+04
9.630000000000e-01    1.177776882916e+04
9.690000000000e-01    1.148256356471e+04
9.750000000000e-01    1.119658870142e+04
9.810000000000e-01    1.091949862906e+04
9.870000000000e-01    1.065096280204e+04
9.930000000000e-01    1.039066499062e+04
9.990000000000e-01    1.013830257394e+04
1.005000000000e+00    9.893585872186e+03
1.011000000000e+00    9.656237515530e+03
1.017000000000e+00    9.425991847676e+03
1.023000000000e+00    9.202594361782e+03
1.029000000000e+00    8.985801166897e+03
1.035000000000e+00    8.775378483048e+03
1.041000000000e+00    8.571102163284e+03
1.047000000000e+00    8.372757241080e+03
1.053000000000e+00    8.180137501600e+03
1.059000000000e+00    7.993045075442e+03
1.065000000000e+00    7.811290053538e+03
1.071000000000e+00    7.634690122010e+03
1.077000000000e+00    7.463070215818e+03
1.083000000000e+00    7.296262190131e+03
1.089000000000e+00    7.134104508428e+03
1.095000000000e+00    6.976441946370e+03
1.101000000000e+00    6.823125310566e+03
1.107000000000e+00    6.674011171403e+03
1.113000000000e+00    6.528961609161e+03
1.119000000000e+00    6.387843972675e+03
1.125000000000e+00    6.250530649862e+03
1.131000000000e+00    6.116898849470e+03
1.137000000000e+00    5.986830393429e+03
1.143000000000e+00    5.860211519244e+03
1.149000000000e+00    5.736932691889e+03
1.155000000000e+00    5.616888424690e+03
1.161000000000e+00    5.499977108730e+03
1.167000000000e+00    5.386100850320e+03
1.173000000000e+00    5.275165316113e+03
1.179000000000e+00    5.167079585474e+03
1.185000000000e+00    5.061756009703e+03
1.191000000000e+00    4.959110077796e+03
1.197000000000e+00    4.859060288369e+03
1.203000000000e+00    4.761528027463e+03
1.209000000000e+00    4.666437451908e+03
1.215000000000e+00    4.573715377978e+03
1.221000000000e+00    4.483291175070e+03
1.227000000000e+00    4.395096664149e+03
1.233000000000e+00    4.309066020726e+03
1.239000000000e+00    4.225135682155e+03
1.245000000000e+00    4.143244259014e+03
1.251000000000e+00    4.063332450386e+03
1.257000000000e+00    3.985342962856e+03
1.263000000000e+00    3.909220433020e+03
1.269000000000e+00    3.834911353359e+03
1.275000000000e+00    3.762364001308e+03
1.281000000000e+00    3.691528371366e+03
1.287000000000e+00    3.622356110104e+03
1.293000000000e+00    3.554800453932e+03
1.299000000000e+00    3.488816169504e+03
1.305000000000e+00    3.424359496621e+03
1.311000000000e+00    3.361388093531e+03
1.317000000000e+00    3.299860984506e+03
1.323000000000e+00    3.239738509598e+03
1.329000000000e+00    3.180982276458e+03
1.335000000000e+00    3.123555114151e+03
1.341000000000e+00    3.067421028845e+03
1.347000000000e+00    3.012545161314e+03
1.353000000000e+00    2.958893746157e+03
1.359000000000e+00    2.906434072665e+03
1.365000000000e+00    2.855134447259e+03
1.371000000000e+00    2.804964157429e+03
1.377000000000e+00    2.755893437109e+03
1.383000000000e+00    2.707893433420e+03
1.389000000000e+00    2.660936174729e+03
1.395000000000e+00    2.614994539961e+03
1.401000000000e+00    2.570042229106e+03
1.407000000000e+00    2.526053734882e+03
1.413000000000e+00    2.483004315485e+03
1.419000000000e+00    2.440869968403e+03
1.425000000000e+00    2.399627405224e+03
1.431000000000e+00    2.359254027411e+03
1.437000000000e+00    2.319727903005e+03
1.443000000000e+00    2.281027744205e+03
1.449000000000e+00    2.243132885792e+03
1.455000000000e+00    2.206023264375e+03
1.461000000000e+00    2.169679398398e+03
1.467000000000e+00    2.134082368910e+03
1.473000000000e+00    2.099213801032e+03
1.479000000000e+00    2.065055846120e+03
1.485000000000e+00    2.031591164581e+03
1.491000000000e+00    1.998802909315e+03
1.497000000000e+00    1.966674709773e+03
1.503000000000e+00    1.935190656577e+03
1.509000000000e+00    1.904335286713e+03
1.515000000000e+00    1.874093569248e+03
1.521000000000e+00    1.844450891567e+03
1.527000000000e+00    1.815393046092e+03
1.533000000000e+00    1.786906217486e+03
1.539000000000e+00    1.758976970302e+03
1.545000000000e+00    1.731592237074e+03
1.551000000000e+00    1.704739306823e+03
1.557000000000e+00    1.678405813966e+03
1.563000000000e+00    1.652579727620e+03
1.569000000000e+00    1.627249341267e+03
1.575000000000e+00    1.602403262781e+03
1.581000000000e+00    1.578030404805e+03
1.587000000000e+00    1.554119975450e+03
1.593000000000e+00    1.530661469317e+03
1.599000000000e+00    1.507644658827e+03
1.605000000000e+00    1.485059585839e+03
1.611000000000e+00    1.462896553560e+03
1.617000000000e+00    1.441146118722e+03
1.623000000000e+00    1.419799084023e+03
1.629000000000e+00    1.398846490822e+03
1.635000000000e+00    1.378279612077e+03
1.641000000000e+00    1.358089945517e+03
1.647000000000e+00    1.338269207042e+03
1.653000000000e+00    1.318809324339e+03
1.659000000000e+00    1.299702430705e+03
1.665000000000e+00    1.280940859077e+03
1.671000000000e+00    1.262517136256e+03
1.677000000000e+00    1.244423977314e+03
1.683000000000e+00    1.226654280189e+03
1.689000000000e+00    1.209201120445e+03
1.695000000000e+00    1.192057746211e+03
1.701000000000e+00    1.175217573277e+03
1.707000000000e+00    1.158674180342e+03
1.713000000000e+00    1.142421304420e+03
1.719000000000e+00    1.126452836390e+03
1.725000000000e+00    1.110762816684e+03
1.731000000000e+00    1.095345431112e+03
1.737000000000e+00    1.080195006818e+03
1.743000000000e+00    1.065306008360e+03
1.749000000000e+00    1.050673033921e+03
1.755000000000e+00    1.036290811621e+03
1.761000000000e+00    1.022154195959e+03
1.767000000000e+00    1.008258164357e+03
1.773000000000e+00    9.945978138091e+02
1.779000000000e+00    9.811683576380e+02
1.785000000000e+00    9.679651223451e+02
1.791000000000e+00    9.549835445597e+02
1.797000000000e+00    9.422191680795e+02
1.803000000000e+00    9.296676410002e+02
1.809000000000e+00    9.173247129319e+02
1.815000000000e+00    9.051862322982e+02
1.821000000000e+00    8.932481437166e+02
1.827000000000e+00    8.815064854568e+02
1.833000000000e+00    8.699573869737e+02
1.839000000000e+00    8.585970665145e+02
1.845000000000e+00    8.474218287950e+02
1.851000000000e+00    8.364280627455e+02
1.857000000000e+00    8.256122393216e+02
1.863000000000e+00    8.149709093794e+02
1.869000000000e+00    8.045007016124e+02
1.875000000000e+00    7.941983205482e+02
1.881000000000e+00    7.840605446028e+02
1.887000000000e+00    7.740842241918e+02
1.893000000000e+00    7.642662798947e+02
1.899000000000e+00    7.546037006723e+02
1.905000000000e+00    7.450935421354e+02
1.911000000000e+00    7.357329248614e+02
1.917000000000e+00    7.265190327604e+02
1.923000000000e+00    7.174491114854e+02
1.929000000000e+00    7.085204668896e+02
1.935000000000e+00    6.997304635245e+02
1.941000000000e+00    6.910765231826e+02
1.947000000000e+00    6.825561234781e+02
1.953000000000e+00    6.741667964699e+02
1.959000000000e+00    6.659061273199e+02
1.965000000000e+00    6.577717529909e+02
1.971000000000e+00    6.497613609786e+02
1.977000000000e+00    6.418726880793e+02
1.983000000000e+00    6.341035191912e+02
1.989000000000e+00    6.264516861484e+02
1.995000000000e+00    6.189150665864e+02
2.001000000000e+00    6.114915828387e+02
2.007000000000e+00    6.041792008632e+02
2.013000000000e+00    5.969759291972e+02
2.019000000000e+00    5.898798179414e+02
2.025000000000e+00    5.828889577695e+02
2.031000000000e+00    5.760014789664e+02
2.037000000000e+00    5.692155504900e+02
2.043000000000e+00    5.625293790596e+02
2.049000000000e+00    5.559412082668e+02
2.055000000000e+00    5.494493177116e+02
2.061000000000e+00    5.430520221601e+02
2.067000000000e+00    5.367476707244e+02
2.073000000000e+00    5.305346460643e+02
2.079000000000e+00    5.244113636101e+02
2.085000000000e+00    5.183762708048e+02
2.091000000000e+00    5.124278463664e+02
2.097000000000e+00    5.065645995698e+02
2.103000000000e+00    5.007850695460e+02
2.109000000000e+00    4.950878246008e+02
2.115000000000e+00    4.894714615497e+02
2.121000000000e+00    4.839346050704e+02
2.127000000000e+00    4.784759070721e+02
2.133000000000e+00    4.730940460800e+02
2.139000000000e+00    4.677877266364e+02
2.145000000000e+00    4.625556787161e+02
2.151000000000e+00    4.573966571567e+02
2.157000000000e+00    4.523094411041e+02
2.163000000000e+00    4.472928334706e+02
2.169000000000e+00    4.423456604072e+02
2.175000000000e+00    4.374667707895e+02
2.181000000000e+00    4.326550357152e+02
2.187000000000e+00    4.279093480153e+02
2.193000000000e+00    4.232286217767e+02
2.199000000000e+00    4.186117918766e+02
2.205000000000e+00    4.140578135284e+02
2.211000000000e+00    4.095656618393e+02
2.217000000000e+00    4.051343313774e+02
2.223000000000e+00    4.007628357509e+02
2.229000000000e+00    3.964502071966e+02
2.235000000000e+00    3.921954961783e+02
2.241000000000e+00    3.879977709955e+02
2.247000000000e+00    3.838561174012e+02
2.253000000000e+00    3.797696382289e+02
2.259000000000e+00    3.757374530286e+02
2.265000000000e+00    3.717586977115e+02
2.271000000000e+00    3.678325242031e+02
2.277000000000e+00    3.639581001048e+02
2.283000000000e+00    3.601346083633e+02
2.289000000000e+00    3.563612469478e+02
2.295000000000e+00    3.526372285352e+02
2.301000000000e+00    3.489617802018e+02
2.307000000000e+00    3.453341431238e+02
2.313000000000e+00    3.417535722830e+02
2.319000000000e+00    3.382193361811e+02
2.325000000000e+00    3.347307165590e+02
